"class","description","ID","subclass","waterUseFactor"
"G","Grain and hay crops",1,"Barley",NA
"G","Grain and hay crops",2,"Wheat",NA
"G","Grain and hay crops",3,"Oats",NA
"G","Grain and hay crops",6,"Miscellaneous grain and hay",NA
"G","Grain and hay crops",7,"Mixed grain and hay",NA
"R","Rice",1,"Rice",NA
"R","Rice",2,"Wild Rice",NA
"F","Field crops",1,"Cotton",NA
"F","Field crops",2,"Safflower",NA
"F","Field crops",3,"Flax",NA
"F","Field crops",4,"Hops",NA
"F","Field crops",5,"Sugar beets",NA
"F","Field crops",6,"Corn (field & sweet)",NA
"F","Field crops",7,"Grain sorghum",NA
"F","Field crops",8,"Sudan",NA
"F","Field crops",9,"Castor beans",NA
"F","Field crops",10,"Beans (dry)",NA
"F","Field crops",11,"Miscellaneous field",NA
"F","Field crops",12,"Sunflowers",NA
"F","Field crops",13,"Hybrid sorghum/sudan",NA
"F","Field crops",14,"Millet",NA
"F","Field crops",15,"Sugar cane",NA
"F","Field crops",16,"Corn, Sorghum or Sudan grouped for remote sensing only",NA
"P","Pasture",1,"Alfalfa & alfalfa mixtures",NA
"P","Pasture",2,"Clover",NA
"P","Pasture",3,"Mixed pasture",NA
"P","Pasture",4,"Native pasture",NA
"P","Pasture",5,"Induced high water table native pasture",NA
"P","Pasture",6,"Miscellaneous grasses",NA
"P","Pasture",7,"Turf farms",NA
"P","Pasture",8,"Bermuda grass",NA
"P","Pasture",9,"Rye grass",NA
"P","Pasture",10,"Klein grass",NA
"T","Truck, nursery & berry crops",1,"Artichokes",NA
"T","Truck, nursery & berry crops",2,"Asparagus",NA
"T","Truck, nursery & berry crops",3,"Beans (green)",NA
"T","Truck, nursery & berry crops",4,"Cole crops (mixture of 22-25)",NA
"T","Truck, nursery & berry crops",6,"Carrots",NA
"T","Truck, nursery & berry crops",7,"Celery",NA
"T","Truck, nursery & berry crops",8,"Lettuce (all descriptions)",NA
"T","Truck, nursery & berry crops",9,"Melons, squash, and cucumbers (all descriptions)",NA
"T","Truck, nursery & berry crops",10,"Onions & garlic",NA
"T","Truck, nursery & berry crops",11,"Peas",NA
"T","Truck, nursery & berry crops",12,"Potatoes",NA
"T","Truck, nursery & berry crops",13,"Sweet potatoes",NA
"T","Truck, nursery & berry crops",14,"Spinach",NA
"T","Truck, nursery & berry crops",15,"Tomatoes (processing)",NA
"T","Truck, nursery & berry crops",16,"Flowers, nursery & Christmas tree farms",NA
"T","Truck, nursery & berry crops",17,"Mixed (four or more)",NA
"T","Truck, nursery & berry crops",18,"Miscellaneous truck",NA
"T","Truck, nursery & berry crops",19,"Bush berries",NA
"T","Truck, nursery & berry crops",20,"Strawberries",NA
"T","Truck, nursery & berry crops",21,"Peppers (chili, bell, etc.)",NA
"T","Truck, nursery & berry crops",22,"Broccoli",NA
"T","Truck, nursery & berry crops",23,"Cabbage",NA
"T","Truck, nursery & berry crops",24,"Cauliflower",NA
"T","Truck, nursery & berry crops",25,"Brussels sprouts",NA
"T","Truck, nursery & berry crops",26,"Tomatoes (market)",NA
"T","Truck, nursery & berry crops",27,"Greenhouse",NA
"T","Truck, nursery & berry crops",28,"Blueberries",NA
"T","Truck, nursery & berry crops",29,"Asian leafy vegetables",NA
"T","Truck, nursery & berry crops",30,"Lettuce or Leafy Greens grouped for remote sensing only",NA
"T","Truck, nursery & berry crops",31,"Potato or Sweet potato grouped for remote sensing only",NA
"D","Deciduous fruits and nuts",1,"Apples",NA
"D","Deciduous fruits and nuts",2,"Apricots",NA
"D","Deciduous fruits and nuts",3,"Cherries",NA
"D","Deciduous fruits and nuts",5,"Peaches and nectarines",NA
"D","Deciduous fruits and nuts",6,"Pears",NA
"D","Deciduous fruits and nuts",7,"Plums",NA
"D","Deciduous fruits and nuts",8,"Prunes",NA
"D","Deciduous fruits and nuts",9,"Figs",NA
"D","Deciduous fruits and nuts",10,"Miscellaneous deciduous",NA
"D","Deciduous fruits and nuts",11,"Mixed deciduous",NA
"D","Deciduous fruits and nuts",12,"Almonds",NA
"D","Deciduous fruits and nuts",13,"Walnuts",NA
"D","Deciduous fruits and nuts",14,"Pistachios",NA
"D","Deciduous fruits and nuts",15,"Pomegranates",NA
"D","Deciduous fruits and nuts",16,"Plums Prunes or Apricots grouped for remote sensing only",NA
"C","Citrius and subtropical",1,"Grapefruit",NA
"C","Citrius and subtropical",2,"Lemons",NA
"C","Citrius and subtropical",3,"Oranges",NA
"C","Citrius and subtropical",4,"Dates",NA
"C","Citrius and subtropical",5,"Avocados",NA
"C","Citrius and subtropical",6,"Olives",NA
"C","Citrius and subtropical",7,"Miscellaneous subtropical fruit",NA
"C","Citrius and subtropical",8,"Kiwis",NA
"C","Citrius and subtropical",9,"Jojoba",NA
"C","Citrius and subtropical",10,"Eucalyptus",NA
"C","Citrius and subtropical",11,"Mixed subtropical fruits",NA
"V","Vineyards",1,"Table grapes",NA
"V","Vineyards",2,"Wine grapes",NA
"V","Vineyards",3,"Raisin grapes",NA
